"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum","violation_present"
"25","1644142-8",23770,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"26","1639509-4",26218,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"27","1638569-3",8666,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"28","1638277-2",6799,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"29","1616775-9",14452,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"30","1642296-18",14915,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"31","1631901-6",7983,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"32","1644640-0",532,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"33","1647074-8",9613,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,FALSE
"34","1639611-0",271,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"35","1635739-0",125,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"36","1634846-19",30952,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"37","1635280-0",9,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"38","1616723-5",1368,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"39","1642219-2",269,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"40","1646382-18",40714,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,FALSE
"41","1628970-2",2522,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"42","1635177-10",13823,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"43","1635293-5",895,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"44","1648378-1",122,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"45","1616697-14",4560,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"46","1615667-7",12513,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"47","1649711-0",158,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"48","1616697-14",4840,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"49","1649328-2",406,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"50","1649324-0",49,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"51","1634080-5",10924,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"52","1636101-4",14854,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"53","1635631-4",11861,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"54","1634993-0",71,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"55","1640915-2",1430,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"56","1648207-1",2814,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"57","1615667-3",3553,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"58","1642790-8",2332,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"59","1646657-1",1166,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"60","1638348-1",237,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"61","1632227-6",3520,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"62","1649073-0",124,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"63","1631901-3",4312,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"64","1643374-4",560,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"65","1634296-2",3095,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"66","1644183-1",133,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"67","1632014-4",656,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"68","1616716-2",3704,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"69","1647920-0",181,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"70","1650737-0",20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"71","1640966-4",11484,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"72","1634723-0",253,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"73","1615857-2",3094,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"74","1634760-1",627,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"75","1650866-3",4910,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"76","1644124-0",116,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"77","1638888-1",568,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"78","1645094-0",30,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"79","1636108-3",2655,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"80","1644933-17",5802,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"81","1642367-5",2391,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"82","1634173-1",1437,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"83","1638831-16",36691,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"84","1641680-4",5300,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"85","1642331-5",5692,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"86","1640796-19",68469,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"87","1646571-6",12940,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"88","1638617-3",4859,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"89","1636695-0",37,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"90","1647389-14",20733,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"91","1634593-3",811,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"92","1639139-6",13449,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"93","1634681-0",201,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"94","1636965-1",1265,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"95","1649817-7",16354,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"96","1645984-16",4747,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"97","1641795-9",5459,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"98","1651368-0",64,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"99","1642956-3",7280,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"100","1644618-0",83,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"101","1648310-1",3416,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"102","1647204-0",5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"103","1647892-4",13707,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"104","1638397-3",568,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"105","1647214-6",1294,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"106","1638967-9",3025,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"107","1641806-3",814,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"108","1643308-0",36,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"109","1639459-0",69,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"110","1650055-2",3220,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"111","1582879-0",1041,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"112","1640658-7",996,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"113","1647489-10",1890,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"114","1630910-0",97,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"115","1644509-2",2941,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"116","1636283-3",2801,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"117","1647580-7",2233,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"118","1643164-5",17844,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,FALSE
"119","1644185-0",34,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"120","1644785-10",12373,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"121","1624861-0",566,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"122","1636356-12",2573,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"123","1638269-8",29833,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"124","1637333-4",9894,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"125","1642219-2",589,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"126","1645273-0",159,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"127","1627375-2",4405,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"128","1644794-0",340,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"129","1638538-22",9950,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"130","1636713-3",10549,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"131","1641040-5",1094,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"132","1648546-2",629,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"133","1639273-6",2515,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"134","1641939-3",3036,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"135","1636189-3",1205,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"136","1639531-2",2225,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"137","1650899-1",2067,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"138","1639634-11",29218,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,FALSE
"139","1638279-8",30284,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"140","1634620-0",19,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"141","1646599-0",167,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"142","1637258-4",1036,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"143","1644222-8",8065,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"144","1650658-2",3392,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"145","1635953-2",462,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"146","1635953-2",593,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"147","1642367-2",1205,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"148","1642219-3",703,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"149","1635246-8",627,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"150","1648378-9",2704,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"151","1638092-0",1125,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"152","1650988-3",1282,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"153","1636606-3",790,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"154","1635178-11",27694,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"155","1645582-4",4988,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"156","1642122-5",18110,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"157","1642775-8",29704,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"158","1644531-2",2650,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"159","1644954-3",3129,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"160","1649855-14",4110,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"161","1637874-5",21618,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"162","1639083-18",4974,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"163","1634903-3",8077,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"164","1635581-1",2481,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"165","1643748-3",1654,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"166","1637742-0",315,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"167","1635560-3",9456,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"168","1650946-6",13773,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"169","1647744-2",5219,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"170","1644923-2",622,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"171","1646657-12",7029,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"172","1649174-0",206,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"173","1645993-0",301,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"174","1636713-6",22104,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"175","1648538-2",889,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"176","1644235-14",12484,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"177","1648378-11",3364,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"178","1642270-10",1800,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"179","1647591-4",763,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"180","1636189-4",1403,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"181","1647337-0",132,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"182","1650594-3",709,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"183","1647013-5",1484,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"184","1642219-2",304,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"185","1647383-0",210,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"186","1650168-1",391,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"187","1639426-11",5271,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"188","1643280-1",1662,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"189","1644079-3",634,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"190","1640860-4",7411,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"191","1638601-11",15627,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"192","1641622-2",2743,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"193","1647161-8",1850,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"194","1634557-3",500,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"195","1647964-10",1718,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"196","1650043-8",67280,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"197","1648082-2",2971,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"198","1634775-0",20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"199","1638601-2",3726,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"200","1644508-18",2991,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"201","1637798-7",25307,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"202","1643236-1",2201,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"203","1644805-5",9302,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"204","1648853-4",1958,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"205","1646391-0",17,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"206","1647468-19",23086,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"207","1642787-0",19,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"208","1561111-23",85526,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"209","1649324-2",1563,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"210","1638501-2",2033,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"211","1646827-3",747,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"212","1648459-5",2498,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"213","1640116-2",4730,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"214","1637106-2",2599,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"215","1648269-12",2429,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"216","1644634-0",155,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"217","1650274-6",3533,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"218","1651682-15",67518,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"219","1647003-2",1615,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"220","1598248-2",768,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"221","1646827-14",3311,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"222","1646574-0",180,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"223","1609195-14",5871,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"224","1608909-2",1723,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"225","1610507-2",334,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"226","1636185-4",1532,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"227","1635238-1",222,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"228","1612396-16",29836,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"229","1607168-13",56968,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"230","1642652-1",221,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"231","1645904-13",2746,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"232","1615576-2",451,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"233","1638601-7",10105,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"234","1636285-1",825,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"235","1648108-16",16731,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"236","1633781-0",130,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"237","1646788-2",650,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"238","1636840-7",2828,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"239","1639396-0",12,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"240","1640722-0",110,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"241","1609348-0",2153,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"242","1640653-7",2026,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"243","1610816-2",2376,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"244","1640653-5",1475,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"245","1650082-5",2591,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"246","1644838-14",61369,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"247","1614859-15",2927,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"248","1646426-1",1541,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"249","1644983-14",5450,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"250","1630953-2",1466,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"251","1640338-10",3998,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"252","1635292-9",19517,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"253","1646827-4",944,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"254","1641237-6",3817,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"255","1640653-1",388,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"256","1616450-4",5206,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"257","1645227-0",421,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"258","1635265-0",20,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"259","1632796-0",17,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"260","1637732-0",69,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"261","1641135-0",46,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"262","1651746-17",45661,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"263","1633076-0",17,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"264","1636613-4",16568,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"265","1639920-3",2015,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"266","1647093-16",28298,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"267","1641217-13",15828,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"268","1640556-1",1001,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
